Stock Symbol
SMCI
NVDA
INTC
RGTI
PLTR
GRAB
LCID
TSLA
RXRX
HIMS
BBAI
BBD
SOUN
F
GOLD
BAC
NIO
BTG
BABA
SOFI
BTE
RIG
ACHR
WBD
VALE
COMP
OXY
PFE
TDOC
APLD
BB
NU
PSLV
AMD
AAPL
IQ
T
RIVN
CELH
HOOD
ANET
AMZN
VRN
PCG
IONQ
VNET
AAL
LYFT
MARA
DVN
IBRX
MSFT
KGC
JBLU
NBIS
CDE
META
MCHP
ALTM
NOK
WBA
ITUB
CNH
HBM
HL
TEM
UEC
GOOGL
RIOT
CLVT
AGNC
MU
VZ
OKLO
CMCSA
AMCR
MSTR
WMT
RKLB
CNK
HBAN
ET
DKNG
SNAP
ON
CMG
LRCX
UBER
CLSK
MRK
TEVA
ABEV
CE
UMC
IREN
ETSY
QS
NKE
NGD
PARA
APPN
SMCI
MSFT
GOOG
WMT
TGT
^GSPC
AAPL
ANET
META
^GSPC
META
AAPL
TSLA
^IXIC
META
^DJI
AAPL
NVDA
MSFT
WBA
AAPL
NVDA
DVN
CMCSA
^GSPC
MSFT
ETSY
ANET
^GSPC
MU
^GSPC
AMD
PBR
STM
U
ASX
CLF
CCL
KO
NXE
AVGO
AQN
ASTS
LYG
TTD
TOST
BCS
WFC
JOBY
XPEV
PTON
KVUE
AUR
CSX
EQT
TSM
MRVL
CVE
SBSW
UAA
FOUR
GOOG
NWL
USB
INFY
CSCO
SMR
SLB
MRNA
VKTX
AEG
ERIC
BMY
FCX
KMI
ADI
XOM
KDP
BP
ENVX
TAL
IAG
OSCR
PDD
BIDU
BTDR
GNW
PYPL
RPRX
TME
BEKE
CIFR
COTY
STLA
C
MDT
BILI
JD
VOD
KHC
SHOP
NEM
HBI
NEE
GDS
AES
HPE
CDNS
HST
CVS
NCLH
TXN
ORCL
LUV
HAL
BA
COP
DIS
PR
DELL
UPST
DAL
SAN
YMM
COIN
AVGO
INTC
TSM
TXN
NVDA
ASML
C
ORCL
MSFT
AMD
AVGO
CVS
ARM
AVGO
QCOM
GOOG
AAPL
XOM
^GSPC
PDD
TSM
INTC
ETSY
GRMN
CDNS
GOOG
KDP
FOUR
C
SHOP
CDNS
DAL
ACDVF
INTC
TSM
AVGO
LBNW
NVDA
DVN
ZUUZF
XOM
^GSPC
BMBL
CMCSA
^GSPC
PRGO
MSFT
NKLA
PDD
OPWEF
ETSY
LBNW
NVDA
DVN
ZUUZF
XOM
^GSPC
BMBL
CMCSA
^GSPC
PRGO
MSFT
NKLA
PDD
OPWEF
ETSY
COMP
HIMS
APPN
CELH
SSRM
PEN
SSDOY
VKTX
GRMN
KRYS
SMCI
CRK
MCHP
VNET
RGTI
ADI
RBA
STM
DVN
HCM
ON
NXPI
APG
CRL
NPO
GDS
ENLT
TXN
FNMA
UPWK
TEO
GSAT
MOH
CART
TDOC
MIR
ASTS
POWI
CPRI
MRUS
TEM
DIOD
PGNY
MTRN
TEVA
TMDX
ESI
FTAI
OXY
XIACF
MRX
LNW
CSGP
GPOR
KTB
GKOS
XIACY
ALGM
IONQ
TOELY
TFX
FMCC
VSH
IEP
GOLD
LSCC
RDNT
EXEL
FUN
MRVL
VIST
RNECY
GIL
LI
AEIS
DFS
RGEN
CW
MMYT
COF
VCYT
CTRA
APLD
WBD
BEKE
SAABY
CNC
APPN
SMCI
MSFT
DVN
SMCI
ETSY
GRMN
CDNS
TDOC
COF
DVN
APPN
COMP
GOLD
PEN
^GSPC
COMP
DOCN
KRYS
MIRM
TDOC
GIL
APPN
MCHP
SMCI
^GSPC
APPN
^GSPC
COMP
LBNW
NVDA
DVN
ZUUZF
XOM
^GSPC
BMBL
CMCSA
^GSPC
PRGO
MSFT
NKLA
PDD
OPWEF
ETSY
LBNW
NVDA
DVN
ZUUZF
XOM
^GSPC
BMBL
CMCSA
^GSPC
PRGO
MSFT
NKLA
PDD
OPWEF
ETSY
LBNW
NVDA
DVN
ZUUZF
XOM
^GSPC
BMBL
CMCSA
^GSPC
PRGO
MSFT
NKLA
PDD
OPWEF
ETSY
CE
GLBE
FOUR
AXON
WRD
WING
CNK
HBM
PHG
PSN
CAVA
OKLO
LPX
IESC
CDNS
ETSY
DAR
HRMY
GNW
HHH
ANET
JBSAY
ALVO
VTMX
PPERY
POWL
GLNCY
FLS
IOSP
AUR
MPNGY
TOL
WIX
S
UEC
ASAN
ALAB
RNG
ZETA
W
JBLU
PLTR
MOD
IFF
CLH
SG
INTC
BASFY
AFRM
FROG
KSPI
AMR
ANGPY
ESAB
BTSG
AU
VSCO
HCMLY
CRDO
RBRK
QS
RNW
SNPS
MSTR
CSAN
MBLY
WGS
MANU
SAIA
CARG
NBIS
LMND
HL
NET
YETI
VERX
SIRI
JXN
ARM
NE
CRH
TX
CFLT
EXP
WEX
HUBS
DXC
YUMC
AMX
XPO
TGLS
TPH
STRL
WST
VAL
BRPHF
PDD
TEAM
DOCN
NSC
AVGO
INTC
TSM
STLA
INTC
RIVN
CAG
ETSY
CVNA
