Ticker,Last Price,Market Cap,PE Ratio,EPS,Revenue,Net Income,Dividend Yield,52 Week High,52 Week Low,Beta,Volume,Average Volume,Sector,Industry
CELH,25.0049991607666,5876950016.0,34.729164,0.72,1318014000.0,226801000.0,,99.62,21.1,1.77,6113115.0,7981481.0,Consumer Defensive,Beverages - Non-Alcoholic
HOOD,54.959999084472656,48664936448.0,35.23077,1.56,2951000000.0,1411000000.0,,66.91,13.595,2.138,16749351.0,24322879.0,Financial Services,Capital Markets
ANET,101.22570037841797,127657754624.0,45.39269,2.23,5860168000.0,2087321000.0,,133.575,60.08,1.089,5787626.0,8360067.0,Technology,Computer Hardware
AMZN,222.39999389648438,2356928315392.0,40.216995,5.53,637959000000.0,59248000000.0,,242.52,151.61,1.156,11443724.0,35671462.0,Consumer Cyclical,Internet Retail
VRN,5.275400161743164,3252315648.0,9.769259,0.54,3565200000.0,570300000.0,5.99,9.28,4.39,2.621,6154075.0,12700022.0,Energy,Oil & Gas E&P
PCG,15.65999984741211,34351462400.0,13.617392,1.15,24419000000.0,2512000000.0,0.64,21.72,14.99,0.989,3947498.0,23899727.0,Utilities,Utilities - Regulated Electric
IONQ,33.5,7249132032.0,,-0.82,22042000.0,-157771000.0,,54.74,6.22,2.403,7714524.0,27755696.0,Technology,Computer Hardware
VNET,14.079999923706055,3758881280.0,,-2.24,7412930000.0,-2643836000.0,,16.13,1.42,-0.185,17931964.0,5372903.0,Technology,Information Technology Services
AAL,15.694999694824219,10318328832.0,12.654596,1.24,52788000000.0,822000000.0,,19.1,9.07,1.351,10287058.0,28426918.0,Industrials,Airlines
LYFT,13.5,5641031168.0,224.91667,0.06,5786016000.0,22784000.0,,20.82,8.925,2.16,6199388.0,17264367.0,Technology,Software - Application
MARA,15.690099716186523,5324937728.0,18.903734,0.83,387508000.0,261173000.0,,34.09,13.17,5.771,10798852.0,49302298.0,Financial Services,Capital Markets
DVN,38.28499984741211,24833132544.0,8.39693,4.56,15258000000.0,3747000000.0,3.33,55.09,30.39,2.022,3338989.0,10377166.0,Energy,Oil & Gas E&P
MSFT,417.2200012207031,3101605232640.0,33.646774,12.4,245122000000.0,88136000000.0,0.8,468.35,385.58,0.895,9998821.0,21792283.0,Technology,Software - Infrastructure
GOOG,185.60000610351562,2250121674752.0,23.0559,8.05,350018000000.0,100118000000.0,0.43,208.7,131.55,0.991,4105613.0,19288045.0,Communication Services,Internet Content & Information
META,697.4398803710938,1767075479552.0,29.230505,23.86,164501000000.0,62360000000.0,0.3,740.91,414.5,1.2,5507631.0,14053018.0,Communication Services,Internet Content & Information
WMT,97.60669708251953,784112680960.0,40.333344,2.42,648125000000.0,15511000000.0,0.8,105.3,57.77,0.552,32503140.0,16555245.0,Consumer Defensive,Discount Stores
TSM,198.74000549316406,1030774915072.0,28.761217,6.91,2894308000000.0,1173268000000.0,1.36,226.4,125.78,1.244,5595068.0,14973625.0,Technology,Semiconductors
TSLA,354.0,1138648023040.0,171.84467,2.06,97690000000.0,7130000000.0,,488.54,138.8,2.336,26113825.0,80481715.0,Consumer Cyclical,Auto Manufacturers
AAPL,245.99569702148438,3695372140544.0,39.109013,6.29,391035000000.0,93736000000.0,0.41,260.1,164.08,1.2,11493913.0,50704761.0,Technology,Consumer Electronics
NVDA,138.33999633789062,3388681224192.0,54.6917,2.53,60922000000.0,29760000000.0,0.03,153.13,74.22,1.619,66783808.0,242071830.0,Technology,Semiconductors
ARM,149.5,157573005312.0,196.71053,0.76,3233000000.0,306000000.0,,188.75,85.61,,1926048.0,5743101.0,Technology,Semiconductors
XOM,111.38999938964844,484890705920.0,14.207908,7.84,334697000000.0,36010000000.0,3.59,126.34,102.88,0.875,5087488.0,15667391.0,Energy,Oil & Gas Integrated
QCOM,173.55999755859375,191957352448.0,18.722761,9.27,38962000000.0,10142000000.0,1.94,230.63,149.43,1.262,1811826.0,7788315.0,Technology,Semiconductors
RIVN,13.335000038146973,13610634240.0,,-5.6,4434000000.0,-5432000000.0,,18.855,8.26,2.042,15379328.0,36053971.0,Consumer Cyclical,Auto Manufacturers
AVGO,224.17999267578125,1050812350464.0,175.14062,1.28,51574000000.0,5895000000.0,1.03,251.88,119.756,1.039,5660204.0,33304637.0,Technology,Semiconductors
